Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
"Douglas, Delgado and Miller",E-commerce,Canada,Series C,58539317.0,2025-04-20,498
Ibarra-Meyer,Tech,UK,Series C,138166484.0,2018-09-17,306
Robinson Group,AI,Netherlands,Series C,109072157.0,2025-03-23,265
"Young, Braun and Mcdowell",Finance,Australia,Series B,49531232.0,2025-07-21,438
Chavez Ltd,Health,India,Series C,140656086.0,2025-01-13,379
Greene-Young,AI,Germany,IPO,520823899.0,2022-06-04,197
"Valentine, Guzman and Jones",SaaS,Germany,Series C,124299329.0,2025-04-14,277
Farley-Richardson,Finance,Netherlands,Series B,22297876.0,2020-04-14,171
"Ray, Evans and Williams",Education,Australia,IPO,941305234.0,2016-08-05,49
Boone-Rodriguez,Health,Australia,Series A,5217077.0,2016-09-30,204
Brock and Sons,Health,India,IPO,231564796.0,2019-03-22,136
"Curtis, Burns and Cochran",AI,USA,IPO,284177133.0,2021-12-28,449
"Daugherty, Santana and Bradley",E-commerce,USA,Series B,34154324.0,2023-11-10,66
Harris-Price,AI,UK,Series A,7410532.0,2018-03-03,255
Henry-Peck,Education,Australia,Series C,180698577.0,2019-11-24,462
Banks LLC,Gaming,Netherlands,IPO,916547613.0,2016-01-09,45
"Cruz, Ward and Munoz",SaaS,Canada,Seed,494110.0,2018-01-06,181
Sparks-Burton,Finance,Canada,Series C,148876033.0,2020-05-07,409
Wise-Stuart,Tech,France,Seed,157372.0,2021-01-25,493
Kelly-Dawson,SaaS,Canada,Series B,13866350.0,2025-01-31,341
Lang-Davis,Education,India,Series A,3162430.0,2024-03-13,317
"Obrien, Meyer and Whitehead",Gaming,India,Series B,17617184.0,2021-06-15,455
"Jordan, Bean and Burns",Tech,USA,Series A,9121035.0,2017-08-15,108
Gray-Martin,Finance,France,Series C,73194843.0,2018-05-10,209
Shelton Inc,Finance,India,Series C,166182317.0,2018-03-08,31
"Deleon, Mathis and Robinson",SaaS,India,Series B,37872070.0,2025-01-04,33
"Jones, Carter and Foster",AI,India,Seed,178567.0,2025-08-22,241
Byrd-Schwartz,E-commerce,USA,Seed,388086.0,2021-06-11,258
Kennedy Group,Health,Canada,Seed,274166.0,2021-09-05,146
"Estrada, Kelley and Carrillo",Finance,UK,Seed,318871.0,2022-12-02,381
Bailey-Jones,Tech,Germany,IPO,986622061.0,2020-07-14,289
Parker Inc,Finance,Germany,Seed,50678.0,2016-03-27,146
Stone and Sons,E-commerce,Australia,Series C,53869275.0,2020-06-03,230
"Stephens, Best and Thompson",SaaS,Canada,Series B,28294651.0,2018-01-13,310
"Bishop, Wilson and Gonzalez",Finance,Netherlands,Series B,39024908.0,2023-02-24,201
Brown and Sons,Tech,India,Series C,148231469.0,2017-04-16,252
Nelson-Parker,Tech,Canada,Series B,45461696.0,2021-01-09,133
Ellis-Cochran,Education,Germany,Series B,28443367.0,2020-02-05,101
"Rogers, Henderson and Ramirez",SaaS,France,Series A,3062633.0,2021-03-16,45
Moore-Baker,Health,Germany,IPO,916247470.0,2016-07-01,260
Acosta-Brown,Education,Canada,Series A,3506879.0,2016-02-09,132
Gonzalez-Raymond,SaaS,France,Series C,69976415.0,2023-01-27,172
Singh and Sons,Education,Netherlands,Series B,22540239.0,2023-01-15,23
Hayes Group,Health,France,Seed,223956.0,2020-06-18,10
Ramirez PLC,Health,Netherlands,Series A,5296779.0,2021-01-31,102
Price Group,E-commerce,UK,Seed,191996.0,2023-02-16,191
Garza-Griffin,Education,UK,Series B,20047622.0,2018-03-19,275
Reeves-Rivas,Tech,France,IPO,841483222.0,2017-06-30,130
"Parker, Miles and Huff",Health,India,Series B,47655960.0,2023-03-01,404
Smith and Sons,Education,Netherlands,IPO,377257561.0,2018-02-17,250
Snyder-Webb,SaaS,India,Series A,7487648.0,2021-08-15,218
Everett and Sons,Health,Australia,Series C,124525719.0,2016-01-29,191
"Edwards, Burton and Carson",SaaS,Australia,IPO,283239139.0,2025-03-03,38
"Crawford, Johnston and Everett",Finance,USA,IPO,869557948.0,2022-10-12,124
"Rocha, Torres and Moore",Education,Canada,Series B,36331325.0,2017-01-28,457
Johnson-Berry,Finance,India,Seed,153693.0,2021-10-06,445
Cooper LLC,Education,France,Series B,14317058.0,2025-04-08,56
Thompson PLC,SaaS,USA,Seed,412006.0,2025-08-23,277
"Salas, Miller and Ruiz",Tech,India,Series B,22301846.0,2020-01-17,40
Greer-Taylor,Finance,Netherlands,Seed,350434.0,2021-12-29,91
Wolf-Anderson,SaaS,Canada,Series B,29369320.0,2022-02-18,350
Fleming LLC,Gaming,India,Series C,63316823.0,2018-11-09,66
Miller-Watson,Education,Canada,Series B,45702831.0,2017-08-02,422
"Woods, Gomez and Graham",SaaS,Canada,IPO,247075552.0,2018-06-15,349
"Cook, Perkins and Berger",Education,France,Series B,27183917.0,2025-11-03,452
Sanders and Sons,Finance,UK,IPO,570368877.0,2024-08-22,263
Shaw-Wolf,Education,Germany,Series B,18584071.0,2016-11-04,37
Oneal Group,E-commerce,UK,Seed,146761.0,2024-08-12,10
"Schmidt, Mathews and Boone",Finance,Netherlands,Series B,34101204.0,2025-10-06,236
Beck-Ball,Education,Netherlands,Series A,8602589.0,2017-05-18,434
"Morris, May and Henderson",Tech,Australia,Series C,72497446.0,2022-04-20,7
Lee Group,AI,Canada,Series A,2146154.0,2016-06-22,425
"King, Larson and Jones",AI,UK,IPO,412280666.0,2017-12-05,99
Murphy-Holt,Health,France,Series A,7920973.0,2024-03-27,453
"Marsh, Gibbs and Carpenter",Health,Canada,Series B,14508889.0,2025-04-29,65
Williams-Reid,AI,India,Series A,4105436.0,2017-09-01,213
Baker Ltd,Education,Australia,IPO,548514222.0,2023-04-13,189
Jones Group,Education,France,Seed,77820.0,2024-10-07,343
Munoz-Esparza,AI,Canada,IPO,542188990.0,2021-09-15,352
Thomas-Valencia,E-commerce,Australia,Series B,48351554.0,2019-12-01,411
Young-Cantrell,Gaming,Canada,Series B,43081334.0,2020-04-20,478
Abbott Inc,Tech,India,IPO,752071506.0,2024-05-24,170
Phelps LLC,Education,Netherlands,Series B,21166524.0,2019-08-05,396
Glass Ltd,Education,India,Seed,225144.0,2022-10-08,412
Kerr-Tran,Education,Germany,IPO,729605641.0,2023-04-20,359
Brown-Miranda,Education,UK,Series B,34592957.0,2018-09-21,28
Allen and Sons,Finance,India,Series B,10045027.0,2016-08-06,394
Juarez-Woods,AI,Australia,Series A,3066783.0,2016-04-24,40
"Lamb, Gibbs and Turner",AI,Australia,Series A,6935410.0,2021-02-16,37
"Thomas, Gonzalez and Morris",Health,Germany,IPO,831048678.0,2016-05-17,488
Matthews-Rios,Tech,Netherlands,Seed,372378.0,2025-05-11,76
Torres-Williams,Health,India,IPO,821069773.0,2018-09-20,41
Chavez-Stewart,Education,Australia,Series B,32784848.0,2019-08-18,153
Parks Ltd,Education,Canada,Series B,25596692.0,2025-06-11,34
"Yates, Simmons and Baker",Education,France,Series B,12667611.0,2019-01-12,468
Huerta and Sons,Health,Australia,Seed,424919.0,2024-12-15,475
Brooks-Wong,SaaS,Australia,Series C,99132917.0,2025-12-03,451
Terry-Powell,Education,Germany,Series B,49229577.0,2025-09-06,282
Conner-Kramer,Education,Netherlands,Series C,142338789.0,2024-08-01,261
Baker-Stanley,Finance,Australia,Series C,97282704.0,2019-10-04,234
"Turner, Huff and Poole",E-commerce,USA,Seed,164407.0,2022-10-05,392
Walker Ltd,Tech,Canada,Series A,6032335.0,2023-08-17,286
Williams Ltd,E-commerce,Canada,Seed,489847.0,2017-05-08,321
Elliott and Sons,Gaming,UK,Series A,1690432.0,2019-03-04,331
Ramirez Inc,Tech,India,Seed,421730.0,2019-08-06,7
"Rivas, Chan and Brown",Gaming,USA,IPO,337012326.0,2020-06-15,487
Sanders-Burke,E-commerce,Germany,Series C,60774066.0,2019-01-05,464
Turner LLC,Gaming,Canada,Seed,125641.0,2023-05-09,115
"Good, Yoder and Jackson",E-commerce,Netherlands,Series B,38075399.0,2021-05-01,139
"Curry, Bates and Anderson",AI,Canada,Series B,39625570.0,2021-07-22,467
"Meyer, Munoz and Carr",SaaS,France,Series C,50460885.0,2025-06-26,289
Anderson Group,Health,UK,IPO,301602752.0,2016-07-07,114
Hamilton-Walls,SaaS,France,Series B,12802656.0,2023-04-20,433
Warren Inc,Finance,Australia,Seed,186575.0,2017-11-27,193
"Moore, Brady and Moore",Gaming,Netherlands,Series A,1142173.0,2019-12-31,389
Parker-Morse,Finance,USA,IPO,471355889.0,2022-04-23,249
Vasquez-Walters,Health,Canada,Series A,3250347.0,2017-01-19,158
Johnson-Barnett,E-commerce,UK,Series B,11478876.0,2023-11-06,285
"Ramirez, Adkins and Peterson",Finance,Australia,IPO,632745442.0,2018-08-10,424
"Ward, Watts and Rubio",SaaS,France,IPO,389253282.0,2021-08-12,470
Powell-Calhoun,Gaming,Netherlands,Series C,170187501.0,2019-02-24,331
Harris-Thomas,AI,USA,Seed,244055.0,2022-08-15,141
"Munoz, Taylor and Mason",E-commerce,Netherlands,Seed,441415.0,2025-01-19,299
"Rogers, Sandoval and Bullock",Tech,Australia,Series A,9255795.0,2023-10-05,230
Gray-Mora,Health,USA,Series B,34980399.0,2019-01-06,39
"Nelson, Wright and Mckenzie",AI,France,Series C,154780161.0,2022-06-07,243
"King, Garcia and Curry",SaaS,USA,IPO,322397916.0,2022-07-31,394
Griffith-Collins,AI,France,Series A,3386561.0,2017-09-08,442
"Stevenson, Sweeney and Bishop",Education,India,IPO,815671936.0,2023-12-07,100
"Davenport, Butler and Singleton",AI,Germany,IPO,228716371.0,2025-11-25,84
Reyes LLC,SaaS,USA,Series B,34067110.0,2018-12-03,56
Austin LLC,SaaS,UK,Seed,64833.0,2018-12-03,149
Martin-Rasmussen,AI,Germany,Seed,493049.0,2022-07-18,449
White Inc,Finance,Netherlands,Series C,51297917.0,2020-02-11,104
"Cunningham, Smith and Hoffman",Finance,Netherlands,Seed,175327.0,2019-10-17,331
Baldwin Inc,Education,USA,IPO,702209625.0,2023-02-04,114
Carroll-Gallagher,Finance,Netherlands,Series B,42929886.0,2016-04-24,48
White LLC,Health,Germany,IPO,328713369.0,2024-04-11,9
"Reynolds, Gay and Chambers",Health,Canada,Seed,444237.0,2019-10-21,323
Pearson-Hernandez,Health,UK,IPO,613964813.0,2018-11-09,450
Grimes and Sons,Education,USA,Seed,180450.0,2024-05-21,119
"Lane, Jordan and Carter",Health,Canada,Series B,37632662.0,2018-07-14,114
Boone Inc,Gaming,Canada,Series A,7302274.0,2024-11-21,356
Garcia-Hall,E-commerce,UK,Seed,405166.0,2024-01-12,23
Carr-Woods,SaaS,Netherlands,Series B,36108741.0,2022-12-20,333
Jackson LLC,Finance,Canada,Series A,9168744.0,2023-08-05,233
"Miller, Rodriguez and Silva",Health,Netherlands,Seed,89202.0,2024-02-29,233
"Ward, Martinez and Abbott",Gaming,Australia,Series A,1162729.0,2018-03-03,488
Martin PLC,Education,France,IPO,201471652.0,2022-04-28,37
Torres Group,Health,Australia,Seed,410375.0,2019-12-09,227
Wallace Inc,E-commerce,USA,Series C,104011964.0,2022-10-24,420
Mcknight LLC,SaaS,Netherlands,IPO,233461115.0,2018-06-04,431
Davis-Davis,SaaS,Canada,Series B,14466756.0,2019-06-28,230
"Thompson, Sanchez and Raymond",Tech,UK,Series C,53295138.0,2017-12-17,438
"Simmons, Byrd and Rivera",Tech,UK,Series B,16694613.0,2019-12-24,300
Smith Inc,Education,UK,Seed,267061.0,2025-12-03,138
"Mack, Walters and Taylor",Health,India,Series A,2022827.0,2016-05-16,203
Obrien Ltd,Tech,Canada,Series C,99148884.0,2025-03-07,315
"Manning, Cross and Rojas",Tech,France,IPO,253675260.0,2025-03-08,367
"Vaughn, Foley and Buchanan",AI,France,Series C,77733276.0,2019-01-20,198
Conner Ltd,E-commerce,Netherlands,Series B,21423314.0,2018-09-17,168
Wong Inc,AI,Netherlands,IPO,520732786.0,2016-09-30,237
Andrews Group,Education,Germany,Series A,1178111.0,2020-06-05,86
"Hernandez, Cruz and Johnson",E-commerce,UK,IPO,287400159.0,2018-06-29,25
Johnson Group,AI,UK,Series A,4817417.0,2019-08-09,84
Jordan LLC,AI,Canada,Series A,2006706.0,2016-05-10,419
Moore and Sons,Tech,Australia,Series B,16484644.0,2025-12-27,71
Miller Inc,Education,India,Seed,478715.0,2023-04-24,487
Vargas Group,Tech,UK,Series A,9413542.0,2016-10-04,166
"Lee, Wolfe and Anderson",Health,Germany,Seed,389146.0,2019-01-28,253
Peterson and Sons,AI,Netherlands,Series A,9343742.0,2020-01-04,35
Adams-Williams,Health,USA,Series A,2007980.0,2022-03-17,402
Estrada-Gamble,AI,Australia,Series B,17774850.0,2023-04-13,388
Hill-Cruz,AI,USA,Series B,40502023.0,2025-07-07,30
Rodriguez-Byrd,Education,Netherlands,Series B,15916609.0,2018-11-20,133
"Howard, Harris and Brown",Tech,India,Seed,73482.0,2019-03-27,374
Larson-Wilson,Health,Canada,Series A,1869271.0,2018-11-09,432
James-Collins,Health,Canada,Series A,5509879.0,2020-02-24,438
"Farrell, Patrick and Brandt",Tech,UK,IPO,995878549.0,2016-08-12,192
Contreras Group,Health,Australia,Series C,62249166.0,2017-03-07,383
Rodriguez Group,E-commerce,USA,Series B,46269142.0,2025-11-17,493
Garcia and Sons,Tech,Canada,Series A,1530226.0,2025-11-07,273
Perkins PLC,Tech,India,Series B,17693909.0,2024-06-03,303
Taylor PLC,Finance,USA,Series C,85503986.0,2024-04-18,412
Salinas and Sons,AI,UK,Seed,223193.0,2019-12-28,384
Hamilton LLC,Education,USA,Series C,182935848.0,2017-01-01,239
"Johnson, Gates and Tapia",Gaming,Netherlands,Series C,108515632.0,2025-07-10,192
"Vasquez, Brown and Perry",Finance,India,Series B,27915714.0,2025-10-18,111
"Bishop, Boone and Harmon",Tech,Germany,Series C,74093592.0,2022-12-01,486
Bautista Ltd,AI,Australia,Series A,2836624.0,2022-11-26,128
Rodriguez and Sons,Gaming,Netherlands,Series B,12031956.0,2017-05-15,273
Morris-Hawkins,AI,Canada,Series B,14660466.0,2018-03-26,401
Chan Ltd,Health,UK,Series C,185281738.0,2018-10-06,60
Stanley Inc,SaaS,Canada,IPO,836932957.0,2025-03-20,187
Jenkins-Atkinson,SaaS,USA,Seed,307116.0,2017-04-06,121
"Miller, Simmons and Peters",AI,USA,IPO,457321922.0,2021-10-20,400
Scott PLC,Gaming,Australia,Series B,28648755.0,2021-07-07,5
Simmons-Kim,Tech,Germany,Series A,1052792.0,2022-03-09,127
"Brennan, Young and Stevenson",AI,Canada,Series C,112374707.0,2025-10-24,499
"Davis, Anderson and Giles",E-commerce,Canada,Series A,7335471.0,2020-08-26,222
Woods PLC,Health,Netherlands,Series C,93509691.0,2016-08-26,141
Long LLC,Health,Australia,Seed,96461.0,2023-11-13,247
Brewer LLC,Gaming,Germany,IPO,537573458.0,2018-02-05,89
"Davis, Odom and Miller",SaaS,India,Seed,379349.0,2017-06-01,496
"Evans, Mata and Lester",E-commerce,UK,Series B,32774289.0,2018-01-11,196
Hanson Inc,Tech,Netherlands,Series C,150362437.0,2022-08-29,21
"Thomas, Berry and Carlson",Health,India,IPO,506284197.0,2022-11-01,36
Mendoza-Mason,SaaS,Canada,IPO,291000172.0,2021-10-31,19
Martin-Farrell,AI,Canada,IPO,685393082.0,2025-09-19,474
"Howe, Doyle and Roberts",Education,USA,Seed,387139.0,2018-09-30,99
"Torres, Zhang and Carlson",Education,India,Series B,15847640.0,2019-12-13,365
Kelly PLC,E-commerce,UK,Series C,158625019.0,2016-05-21,417
Ramsey-Thomas,E-commerce,Netherlands,Series B,32573750.0,2025-12-03,108
Spence and Sons,E-commerce,France,Series B,22834637.0,2024-07-06,322
Hill PLC,Education,USA,Series B,43258256.0,2018-08-21,415
Lopez and Sons,SaaS,USA,Series B,21702798.0,2025-08-30,163
"Day, Cuevas and Cameron",Finance,Australia,IPO,808840839.0,2024-09-30,282
Galvan Inc,SaaS,India,Series C,90977490.0,2023-07-30,36
Rodriguez-Smith,Tech,India,IPO,912737835.0,2022-08-12,400
Thompson-Madden,Gaming,Canada,Seed,114827.0,2025-03-05,362
Smith PLC,Finance,Australia,Series A,9140393.0,2020-11-17,280
Thomas Inc,E-commerce,USA,IPO,495641256.0,2017-02-06,371
"Davis, Stokes and Hamilton",Tech,India,IPO,587103817.0,2018-10-11,480
Williams PLC,Gaming,Canada,IPO,224995137.0,2025-07-22,352
Cole-Robles,SaaS,Australia,IPO,422687815.0,2023-10-25,303
Phillips PLC,Health,Netherlands,Series C,85177336.0,2018-03-07,69
Williams-Sullivan,Education,Australia,Series A,9022504.0,2023-03-05,18
"Carson, Rodriguez and Buck",Gaming,Netherlands,Seed,150351.0,2023-06-13,497
Williams and Sons,SaaS,USA,IPO,393413993.0,2020-05-30,188
Taylor Ltd,Finance,UK,Series A,4082159.0,2024-12-08,180
"Romero, Davis and Torres",Gaming,Australia,Series C,74968515.0,2019-11-08,241
Hamilton-Miller,Health,India,Series C,57892648.0,2025-03-28,356
Campbell-Contreras,SaaS,France,IPO,752868352.0,2017-06-03,281
"Gomez, Valentine and Castillo",Tech,India,Series A,4486508.0,2021-08-09,68
Mcmahon LLC,E-commerce,Australia,IPO,939739297.0,2025-06-25,486
Lewis PLC,Gaming,France,Series A,6738964.0,2023-04-04,363
"Flores, Bailey and Carpenter",Health,Canada,Series B,16121029.0,2019-05-11,152
Aguirre LLC,Tech,Australia,Series B,13416126.0,2022-04-03,432
"Rosario, Beltran and Dillon",Education,Netherlands,Seed,207191.0,2017-05-12,306
Warner Ltd,Gaming,USA,Series A,4084024.0,2023-05-10,14
Cox-Pollard,E-commerce,Germany,Series B,33731998.0,2023-04-17,289
Kim-Nolan,E-commerce,Netherlands,Series A,2954881.0,2023-12-14,258
Douglas PLC,SaaS,Germany,Seed,154865.0,2017-12-21,461
Valentine-White,Health,Netherlands,IPO,219234518.0,2016-04-19,303
Fuller-Powell,AI,Netherlands,Seed,117929.0,2022-03-10,472
Griffith-Meadows,Gaming,Netherlands,Series B,40879456.0,2017-12-23,463
Irwin-Jones,Tech,Canada,Seed,447331.0,2018-03-18,35
Curtis Ltd,AI,Netherlands,Series B,21115885.0,2020-07-23,389
"Smith, Anderson and Valentine",Finance,France,Series B,39885582.0,2025-01-27,148
"Bell, Rodriguez and Montgomery",E-commerce,Canada,Series C,102060933.0,2023-01-16,222
Cherry-Lawrence,SaaS,Germany,Seed,162878.0,2024-02-07,77
English Group,Tech,Australia,Seed,134832.0,2019-04-08,127
Fuller-Nelson,Tech,UK,Seed,207701.0,2022-11-03,288
"Levine, Jensen and Johnson",Health,Germany,Series B,12096341.0,2017-12-31,252
Wiley-Velez,Education,India,Seed,283454.0,2019-10-11,227
"Moore, Pearson and Sullivan",Education,France,Series C,156565319.0,2024-08-13,369
Garcia-Ford,SaaS,Canada,Series B,18792964.0,2022-09-04,28
"Salazar, Hickman and Jones",E-commerce,Australia,Series A,6776070.0,2020-06-10,321
Jackson-Parks,Gaming,France,Seed,443574.0,2025-03-02,62
"Chang, Hampton and Bishop",Health,UK,IPO,556240974.0,2024-03-01,296
Turner Inc,Finance,Germany,Series C,116229244.0,2020-03-18,136
Cole-Greer,AI,Netherlands,Seed,58159.0,2025-12-07,406
Brown PLC,AI,Australia,Seed,416638.0,2017-12-03,158
Burns Inc,Education,Germany,Series A,1642310.0,2017-04-29,246
Larson-Barnett,SaaS,Canada,Series C,86197033.0,2019-02-13,448
Palmer-Wilson,Finance,Netherlands,Series C,154450061.0,2022-11-08,225
Thompson Group,Education,Netherlands,Series A,4551177.0,2018-05-31,87
"Ramirez, Dougherty and Allen",Education,Netherlands,IPO,981555785.0,2021-07-13,114
Peterson Ltd,Gaming,Canada,IPO,673783966.0,2020-09-03,343
Jackson-Maxwell,E-commerce,Australia,IPO,558998116.0,2025-12-10,64
"Smith, Mcdaniel and Foley",AI,India,Series B,21375613.0,2016-07-01,464
Ward-Hernandez,Finance,India,Series C,60342338.0,2022-06-29,140
"Parker, Gilbert and Davis",Finance,Canada,IPO,461767963.0,2017-05-16,74
Landry Group,Finance,Netherlands,Series B,32977619.0,2024-09-30,408
Smith-Brown,E-commerce,UK,IPO,979194089.0,2018-07-10,194
"Woods, Hicks and Moore",AI,France,Series C,197279381.0,2020-08-31,117
Hernandez-Moore,Health,Germany,IPO,354136600.0,2019-10-23,350
"Wu, Long and Charles",AI,Australia,IPO,446316866.0,2016-12-02,89
Sexton LLC,Gaming,Netherlands,IPO,626248974.0,2019-11-05,205
Martinez-Turner,Tech,Australia,Series C,129261092.0,2018-04-05,291
Ford Ltd,Education,USA,Series B,13728713.0,2025-10-15,279
Watson-Sawyer,AI,Canada,Series C,152348236.0,2025-02-10,80
"Padilla, Wilcox and Ramsey",Finance,UK,Series C,130169747.0,2025-09-24,173
Smith-Lester,E-commerce,UK,Series C,84000595.0,2023-02-05,381
"Sellers, Robertson and Joseph",Health,UK,IPO,430803880.0,2016-02-13,80
"Mcbride, Bishop and Reeves",SaaS,Canada,Series B,14077745.0,2017-12-16,274
Becker-Owens,Finance,UK,Series C,136296174.0,2019-01-18,257
"Flores, Edwards and Wells",SaaS,UK,Series A,6553137.0,2017-08-24,332
"Fletcher, Marsh and White",Tech,France,Seed,219470.0,2020-12-09,331
Willis and Sons,Tech,USA,Series B,28863164.0,2017-05-24,294
Clark-Warren,E-commerce,UK,Series A,7737140.0,2017-06-17,482
"Smith, Schneider and Leonard",Health,Netherlands,Series C,155197531.0,2019-04-20,423
Gates LLC,E-commerce,Netherlands,Series C,92998613.0,2017-07-03,394
Stevens-Wright,Tech,USA,Series C,194843450.0,2019-02-07,281
